Day,Time Slot,Room,Course,Course Code,Section(s),Teacher,Duration
Mon,10:00-11:30,F-205,Parallel and Distributed Computing,CS3006,BCS-7F/9F,Mr. Mubashar Hussain,90 min
Mon,10:00-11:30,F-206,Data Science,CS4048,BCS-7B,Dr. Sobia Tariq Javed,90 min
Mon,10:00-11:30,F-207,Fundamentals of Software Project Management,CS4044,BCS-9A,Ms. Momna Zaneb,90 min
Mon,10:00-11:30,F-208,Theory of Programming Languages,CS5006,MCS-1A,Dr. Farooq Ahmed Rana,90 min
Mon,10:00-11:30,F-209,Calculus and Analytical Geometry,MT1003,BSE-1A,Dr. Muhammad Nasir Ali VF,90 min
Mon,10:00-11:30,F-210,Calculus and Analytical Geometry,MT1003,BSE-1C,TBA,90 min
Mon,10:00-11:30,F-301,Computer Organization and Assembly Language,EE2003,BSE-3C,TBA,90 min
Mon,10:00-11:30,F-302,Probability and Statistics,MT2005,BSE-3A,Ms. Kanwal Saleem,90 min
Mon,10:00-11:30,F-303,Technical and Business Writing,SS2012,BSE-5A,Iqra Rafiq,90 min
Mon,10:00-11:30,F-304,Final Year Project -I,SE4091,BSE-7A,TBA,90 min
Mon,10:00-11:30,F-305,MS Practicum - I,CS5087,MSP-3A,Dr. G. A. Farrukh,90 min
Mon,10:00-11:30,F-306,Programming Fundamentals,CS1002,BDS-1A,Dr. Mubasher Baig,90 min
Mon,10:00-11:30,F-307,Ideology and Constitution of Pakistan,SS1013,BDS-1B,Muznah Saleha,90 min
Mon,10:00-11:30,F-308,Understanding of Holy Quran I/Ethics I,SS1021,BDS-3A,Mr. Zia ur Rehman,90 min
Mon,10:00-11:30,F-309,Artificial Intelligence,AI2002,BDS-5B,Ms. Bushra Rashid,90 min
Mon,10:00-11:30,F-310,Data Science Tools and Technique,DS5002,MDS-1A,Dr. Asma Ahmad,90 min
Mon,10:00-11:30,F-311,Reserved for Maths,RXXXX,MCS-3A,TBA,90 min
Mon,10:00-11:30,F-312,Linear Algebra,MT1004,BAI-3A,Dr. Aziz Ur Rehman VF,90 min
Mon,10:00-11:30,S. Hall,Applied Information Security,CY5005,MCY-1A,Dr. Faisal Aslam,90 min
Mon,11:30-13:00,C-1,Programming Fundamentals,CS1002,BCS-1C/3C,Mr. Muhammad Kamran,90 min
Mon,11:30-13:00,C-13,Programming Fundamentals,CS1002,BCS-1D/3D,Ms. Namra Absar,90 min
Mon,11:30-13:00,C-14,Islamic Studies/Ethics,SS1007,BCS-1G/3G,Mr. Fawad Hashmi,90 min
Mon,11:30-13:00,C-2,Discrete Structures,CS1005,BCS-3C/5C,Dr. Tahir Ejaz,90 min
Mon,11:30-13:00,C-3,Discrete Structures,CS1005,BCS-3H/5H,Ms. Mehwish Afshan,90 min
Mon,11:30-13:00,C-4,Linear Algebra,MT1004,BCS-3B/5B,Dr. Akhlaq Ahmad Bhatti,90 min
Mon,11:30-13:00,C-5,Linear Algebra,MT1004,BCS-3G/5G,Dr. Muhammad Rizwan VF,90 min
Mon,11:30-13:00,C-6,Computer Networks,CS3001,BCS-5E/7E,Mr. Nauman Moazzam Hayat,90 min
Mon,11:30-13:00,C-7,Design and Anlysis of Algorithms,CS2009,BCS-5D/7D,Ms. Abeeda Akram,90 min
Mon,11:30-13:00,D-11,Software Engineering,CS3009,BCS-5B/7B,Ms. Lehmia Kiran,90 min
Mon,11:30-13:00,Eng Lab-1,Data Structures Lab,CL2001,BCS-3E/5E,TBA,90 min
Mon,11:30-13:00,Eng Lab-2,Computer Networks Lab,CL3001,BCS-5A/7A,TBA,90 min
Mon,11:30-13:00,Eng Lab-3,Programming Fundamentals Lab,CL1002,BSE-1B,TBA,90 min
Mon,11:30-13:00,Eng Lab-4,Data Warehousing and Business Intelligence Lab,DS3004,BDS-5B,TBA,90 min
Mon,11:30-13:00,Eng Lab-5,Programming Fundamental Lab,CL1002,BAI-1A1,TBA,90 min
Mon,11:30-13:00,Eng Lab-6,Data Structure and Algorithms,CSXXXX,MCI-1A,TBA,90 min
Mon,11:30-13:00,F-201,Information Security,CS3002,BCS-7K/9K,Mr. Usman Aamer,90 min
Mon,11:30-13:00,F-202,Compiler Construction,CS4031,BCS-7F/9F,Mr. Hamad ul Qudous,90 min
Mon,11:30-13:00,F-203,Compiler Construction,CS4031,BCS-7J/9J,Dr. Farooq Ahmed Rana,90 min
Mon,11:30-13:00,F-204,Parallel and Distributed Computing,CS3006,BCS-7G/9G,Mr. Mubashar Hussain,90 min
Mon,11:30-13:00,F-205,Bioinformatics,CS4054,BCS-7B,Ms. Rushda Muneer,90 min
Mon,11:30-13:00,F-206,Theory of Automata,CS3005,BCS-7A,Dr. Sobia Tariq Javed,90 min
Mon,11:30-13:00,F-207,Technical and Business Writing,SS2007,BCS-9A,TBA,90 min
Mon,11:30-13:00,F-208,Research Methodology (Merged with DS),CS5001,MCS-3A,TBA,90 min
Mon,11:30-13:00,F-209,Applied Physics,NS1001,BSE-1C,TBA,90 min
Mon,11:30-13:00,F-210,Computer Organization and Assembly Language,EE2003,BSE-3A,TBA,90 min
Mon,11:30-13:00,F-301,Probability and Statistics,MT2005,BSE-3C,Ms. Kanwal Saleem,90 min
Mon,11:30-13:00,F-302,Artificial Intelligence,AI2002,BSE-5B,Ms. Bushra Rashid,90 min
Mon,11:30-13:00,F-303,Software Construction and Development,SE3005,BSE-5A,Mr. Arslan Asif,90 min
Mon,11:30-13:00,F-304,Digital Image Processing,CS4055,BSE-7A,Dr. Asif Gilani,90 min
Mon,11:30-13:00,F-305,Understanding of Holy Quran I/Ethics I,SS5014,MSP-3A,Mr. Irfan Rana,90 min
Mon,11:30-13:00,F-306,Calculus and Analytical Geometry,MT1003,BDS-1A,Dr. Komal Hassan VF,90 min
Mon,11:30-13:00,F-307,Ideology and Constitution of Pakistan,SS1013,BDS-1B,Muznah Saleha,90 min
Mon,11:30-13:00,F-308,Understanding of Holy Quran II/Ethics II,SS1022,BDS-3B,Mr. Zia ur Rehman,90 min
Mon,11:30-13:00,F-309,Object Oriented Programming,CS1004,BDS-3A,Mr. Waqas Manzoor,90 min
Mon,11:30-13:00,F-310,Computer Networks,CS3001,BDS-7C,TBA,90 min
Mon,11:30-13:00,F-311,French Language,SS2031,BDS-7B,TBA,90 min
Mon,11:30-13:00,F-312,Reserved for Maths,RXXXX,MCS-1A,TBA,90 min
Mon,11:30-13:00,S. Hall,Understanding of Holy Quran I/Ethics I,SS1021,BAI-3A,Mr. Naseer Ahmad,90 min
Mon,13:00-14:30,C-1,Functional English,SS1012,BCS-1C/3C,Ms. Nokhaiz Zahra,90 min
Mon,13:00-14:30,C-13,Data Structures,CS2001,BCS-3E/5E,Mr. Muhammad Naveed,90 min
Mon,13:00-14:30,C-14,Discrete Structures,CS1005,BCS-3H/5H,Ms. Mehwish Afshan,90 min
Mon,13:00-14:30,C-2,Linear Algebra,MT1004,BCS-3A/5A,Dr. Akhlaq Ahmad Bhatti,90 min
Mon,13:00-14:30,C-3,Applied Human Computer Interaction,CS3014,BCS-5E/7E,Mr. Waqas Manzoor,90 min
Mon,13:00-14:30,C-4,Applied Human Computer Interaction,CS3014,BCS-5F/7F,Ms. Bushra Habib,90 min
Mon,13:00-14:30,C-5,Computer Networks,CS3001,BCS-5D/7D,Mr. Nauman Moazzam Hayat,90 min
Mon,13:00-14:30,C-6,Information Security,CS3002,BCS-7G/9G,Ms. Nosheen Manzoor,90 min
Mon,13:00-14:30,C-7,Compiler Construction,CS4031,BCS-7F/9F,Mr. Hamad ul Qudous,90 min
Mon,13:00-14:30,D-11,Parallel and Distributed Computing,CS3006,BCS-7A/9A,Dr. Abdul Qadeer,90 min
Mon,13:00-14:30,Eng Lab-1,Data Analysis and Visualization Lab,DL3001,BDS-5A/7A,TBA,90 min
Mon,13:00-14:30,Eng Lab-2,Data Analysis and Visualization Lab,DL3001,BDS-5B/7B,TBA,90 min
Mon,13:00-14:30,Eng Lab-3,Programming Fundamental Lab,CL1002,BAI-1A2,TBA,90 min
Mon,13:00-14:30,Eng Lab-4,Understanding of Holy Quran II/Ethics II,SS1022,,Mr. Zia ur Rehman,90 min
Mon,13:00-14:30,F-201,Parallel and Distributed Computing,CS3006,BCS-7K/9K,TBA,90 min
Mon,13:00-14:30,F-202,Digital Image Processing,CS4055,BCS-9A,Dr. Asif Gilani,90 min
Mon,13:00-14:30,F-203,Advanced Theory of Computation,CS5005,MCS-1A,Dr. Imran Farid Khan,90 min
Mon,13:00-14:30,F-204,ACN/Wireless Sensor Networks,CSXXX,MCS-3A,TBA,90 min
Mon,13:00-14:30,F-205,Applied Physics,NS1001,BSE-1C,TBA,90 min
Mon,13:00-14:30,F-206,Computer Organization and Assembly Language,EE2003,BSE-3A,TBA,90 min
Mon,13:00-14:30,F-207,Probability and Statistics,MT2005,BSE-3C,Ms. Kanwal Saleem,90 min
Mon,13:00-14:30,F-208,Software Construction and Development,SE3005,BSE-5A,Mr. Arslan Asif,90 min
Mon,13:00-14:30,F-209,Information Security,CS3002,BSE-7A,Ms. Sarah Abid Khan,90 min
Mon,13:00-14:30,F-210,Parallel and Distributed Computing,CS3006,BSE-7B,Mr. Razi uddin,90 min
Mon,13:00-14:30,F-301,Final Year Project - II,SE4092,BSE-9A,TBA,90 min
Mon,13:00-14:30,F-302,MS Thesis-I,CS5091,MSP-3A,TBA,90 min
Mon,13:00-14:30,F-303,MS Practicum - II,CS5088,MSP-5A,TBA,90 min
Mon,13:00-14:30,F-304,Introduction to Information and Communication Technology,CL1000,BDS-1A,Ms. Mamoona Majid,90 min
Mon,13:00-14:30,F-305,Ideology and Constitution of Pakistan,SS1013,BDS-1C,TBA,90 min
Mon,13:00-14:30,F-306,Probability and Statistics,MT2005,BDS-3B,Ms. Sarah Ahmad,90 min
Mon,13:00-14:30,F-307,Applied Physics (merged with SE),NS1001,BDS-3A,TBA,90 min
Mon,13:00-14:30,F-308,Computer Networks,CS3001,BDS-7C,TBA,90 min
Mon,13:00-14:30,F-309,Generative AI,AI4009,BDS-7A,Dr. Maryam Bashir,90 min
Mon,13:00-14:30,F-310,Software for Mobile Devices,CS4039,BDS-9A,Mr. Waqas Ali,90 min
Mon,13:00-14:30,F-311,Functional English,SS1012,BAI-1A,Zainab Mubarak,90 min
Mon,13:00-14:30,F-312,Calculus and Analytical Geometry,MT1003,BCY-1A,Ms. Amina Aslam VF,90 min
Mon,13:00-14:30,S. Hall,Database and Operating Systems,CSXXXX,MCI-1A,TBA,90 min
Mon,14:30-16:00,C-1,Discrete Structures,CS1005,BCS-3A/5A,Dr. Imran Farid Khan,90 min
Mon,14:30-16:00,C-13,Linear Algebra,MT1004,BCS-3D/5D,Dr. Akhlaq Ahmad Bhatti,90 min
Mon,14:30-16:00,C-14,Applied Human Computer Interaction,CS3014,BCS-5G/7G,Ms. Bushra Habib,90 min
Mon,14:30-16:00,C-2,Computer Networks,CS3001,BCS-5A/7A,Dr. Abdul Qadeer,90 min
Mon,14:30-16:00,C-3,Design and Anlysis of Algorithms,CS2009,BCS-5F/7F,Mr. Sajid Ali Kazmi,90 min
Mon,14:30-16:00,C-4,Information Security,CS3002,BCS-7C/9C,Ms. Aqsa Khalid,90 min
Mon,14:30-16:00,C-5,Parallel and Distributed Computing,CS3006,BCS-7K/9K,TBA,90 min
Mon,14:30-16:00,C-6,Data Analysis and Visualization,DS3001,BDS-5B/7B,Mr. Amir Iqbal,90 min
Mon,14:30-16:00,C-7,Software Evolution and Re-Engineering,CSXXX,BCS-7A,Mr. Arslan Asif,90 min
Mon,14:30-16:00,D-11,Final Year Project - II,CS4092,BCS-9A,TBA,90 min
Mon,14:30-16:00,Eng Lab-1,Functional English Lab,SL1012,BCS-1E2/3E2,TBA,90 min
Mon,14:30-16:00,Eng Lab-2,Computer Networks Lab,CL3001,BCS-5E/7D,TBA,90 min
Mon,14:30-16:00,Eng Lab-3,Programming Fundamentals Lab,CL1002,BSE-1C,TBA,90 min
Mon,14:30-16:00,Eng Lab-4,Functional Eng Lab,SL1012,BSE-1A2,TBA,90 min
Mon,14:30-16:00,Eng Lab-5,Functional English Lab,SL1012,BCY-1B1,TBA,90 min
Mon,14:30-16:00,Eng Lab-6,Functional English Lab,SL1012,BCY-1B2,TBA,90 min
Mon,14:30-16:00,F-201,Theory of Programming Languages,CS5006,MCS-1A,Dr. Farooq Ahmed Rana,90 min
Mon,14:30-16:00,F-202,Understanding of Holy Quran II/Ethics II,SS5016,MCS-3A,Mr. Hamza Janjua,90 min
Mon,14:30-16:00,F-203,Probability and Statistics,MT2005,BSE-3C,Ms. Kanwal Saleem,90 min
Mon,14:30-16:00,F-204,Software Quality Engineering,SE3002,BSE-5A,Dr. Ali Afzal Malik,90 min
Mon,14:30-16:00,F-205,Digital Image Processing,CS4055,BSE-7A,Dr. Asif Gilani,90 min
Mon,14:30-16:00,F-206,Management and Organizational Behavior,MG4006,MSP-1A,TBA,90 min
Mon,14:30-16:00,F-207,Programming Fundamentals,CS1002,BDS-1C,TBA,90 min
Mon,14:30-16:00,F-208,Calculus and Analytical Geometry,MT1003,BDS-1A,Dr. Komal Hassan VF,90 min
Mon,14:30-16:00,F-209,Object Oriented Programming,CS1004,BDS-3A,Mr. Waqas Manzoor,90 min
Mon,14:30-16:00,F-210,Computer Networks,CS3001,BDS-7C,TBA,90 min
Mon,14:30-16:00,F-301,Web Programming,CS4032,BDS-7A,Ms. Mahhek Tahir,90 min
Mon,14:30-16:00,F-302,Software for Mobile Devices,CS4039,BDS-9A,Mr. Waqas Ali,90 min
Mon,14:30-16:00,F-303,MS Thesis-I,DS5091,MDS-3A,TBA,90 min
Mon,14:30-16:00,F-304,Functional English,SS1012,BCY-1B,TBA,90 min
Mon,14:30-16:00,F-305,Psychology,SS2019,BCY-1A,TBA,90 min
Mon,14:30-16:00,F-306,Cyber Security,CY2004,BCY-3A,Dr. Arshad Ali,90 min
Mon,14:30-16:00,F-307,Offensive Security,CY5008,MCY-3A,Dr. Ammar Haider,90 min
Mon,14:30-16:00,F-308,Programming for AI (Python),CSXXXX,MCI-1A,TBA,90 min
Mon,14:30-16:00,F-309,MS Thesis - I & II,CY5091/502,,TBA,90 min
Mon,16:00-17:30,C-1,Discrete Structures,CS1005,BCS-3D/5D,Ms. Rubab Janjua,90 min
Mon,16:00-17:30,C-13,Computer Networks,CS3001,BCS-5F/7F,Ms. Umm-e-Ammarah,90 min
Mon,16:00-17:30,C-14,Parallel and Distributed Computing,CS3006,BCS-7D/9D,Mr. Danyal Farhat,90 min
Mon,16:00-17:30,C-2,Data Warehousing and Business Intellligence,DS3004,BDS-7A/9A,Mr. Ishaq Raza,90 min
Mon,16:00-17:30,C-3,Understanding Sirat-Un-Nabi,SS1019,BCS-7A,TBA,90 min
Mon,16:00-17:30,C-4,Introduction to Software Engineering,SE1001,BSE-3A,Dr. Zeeshan Ali Rana,90 min
Mon,16:00-17:30,C-5,Understanding of Holy Quran II/Ethics II,SS1022,BSE-3B,TBA,90 min
Mon,16:00-17:30,C-6,Digital Image Processing,CS4055,BSE-7A,Dr. Asif Gilani,90 min
Mon,16:00-17:30,Eng Lab-1,Data Structures Lab,CL2001,BCS-3A/5A,Ms. Marwa Khan,90 min
Mon,17:30-19:00,C-1,Information Security,CS3002,BCS-7K/9K,Mr. Usman Aamer,90 min
Mon,17:30-19:00,C-13,Object Oriented Programming,CS1004,BCS-3A,Ms. Rida Hijab Basit,90 min
Mon,17:30-19:00,C-14,Deep Learning,CSXXXX,BCS-7A,Mr. Saiful Islam,90 min
Mon,17:30-19:00,C-2,Offensive Security,CY5008,MCY-3A,Dr. Ammar Haider,90 min
Tue,08:30-10:00,C-1,Linear Algebra,MT1004,BCS-3D/5D,Dr. Akhlaq Ahmad Bhatti,90 min
Tue,08:30-10:00,C-13,Understanding Holy Quran - I /Ethics - I,SS1021,BCS-3E/5E,TBA,90 min
Tue,08:30-10:00,C-14,Computer Architecture,CS4075,BCS-5G/7G,Mr. Junaid Hussain Muzammil,90 min
Tue,08:30-10:00,C-2,Computer Networks,CS3001,BCS-5B/7B,Dr. Ahmad Raza,90 min
Tue,08:30-10:00,C-3,Design and Anlysis of Algorithms,CS2009,BCS-5D/7D,Ms. Abeeda Akram,90 min
Tue,08:30-10:00,C-4,Compiler Construction,CS4031,BCS-7E/9E,Mr. Hamad ul Qudous,90 min
Tue,08:30-10:00,C-5,Design and Analysis of Algorithms,CS2009,BDS-5A/7A,Mr. Sajid Ali Kazmi,90 min
Tue,08:30-10:00,C-6,Computer Organization and Assembly Language,EE2003,BCS-5M,TBA,90 min
Tue,08:30-10:00,C-7,Bioinformatics,CS4054,BCS-7B,Ms. Rushda Muneer,90 min
Tue,08:30-10:00,D-11,Web Programming,CS4032,BCS-7A,Ms. Mahhek Tahir,90 min
Tue,08:30-10:00,Eng Lab-1,Functional English Lab,SL1012,BCS-1D2/3D2,TBA,90 min
Tue,08:30-10:00,Eng Lab-2,Functional English Lab,SL1012,BCS-1E1/3E1,TBA,90 min
Tue,08:30-10:00,Eng Lab-3,Computer Organization and Assembly Language Lab,EL2003,BCS-3F/5F,Ms. Seemab Ayub,90 min
Tue,08:30-10:00,Eng Lab-4,Functional Eng Lab,SL1012,BSE-1A1,TBA,90 min
Tue,08:30-10:00,Eng Lab-5,Functional Eng Lab,SL1012,BSE-1C1,TBA,90 min
Tue,08:30-10:00,Eng Lab-6,Function English Lab,SL1012,BDS-1B2,TBA,90 min
Tue,08:30-10:00,F-201,French Language,SS2031,BCS-9A,TBA,90 min
Tue,08:30-10:00,F-202,Deep Learning,CS5102,MCS-3A,Dr. Saira Karim,90 min
Tue,08:30-10:00,F-203,Programming Fundamentals,CS1002,BSE-1A,Ms. Anosha Khan,90 min
Tue,08:30-10:00,F-204,Programming Fundamentals,CS1002,BSE-1C,TBA,90 min
Tue,08:30-10:00,F-205,Computer Organization and Assembly Language,EE2003,BSE-3C,TBA,90 min
Tue,08:30-10:00,F-206,Operating Systems,CS2006,BSE-5A,Mr. Razi uddin (VF),90 min
Tue,08:30-10:00,F-207,DevOps,CS4067,BSE-7A,Mr. Durraiz Waseem,90 min
Tue,08:30-10:00,F-208,Calculus and Analytical Geometry,MT1003,BDS-1C,TBA,90 min
Tue,08:30-10:00,F-209,Chinese Language,SS2032,BDS-7A,Amna Latif,90 min
Tue,08:30-10:00,F-210,Calculus and Analytical Geometry,MT1003,BAI-1A,Ms. Amina Aslam VF,90 min
Tue,08:30-10:00,F-301,Applied Programming,CS4002,MCY-1A,TBA,90 min
Tue,08:30-10:00,F-302,MS Thesis - I,CY5091,,TBA,90 min
Tue,08:30-10:00,Lab-1,Data Structures Lab,CL2001,BDS-3B,TBA,90 min
Tue,08:30-10:00,Lab-13,Computer Organization and Assembly Language  Lab,EL2003,BCY-3A1,TBA,90 min
Tue,10:00-11:30,C-1,Introduction to Information and Communication Technology,CL1000,BCS-1E/3E,Ms. Hina Iqbal,90 min
Tue,10:00-11:30,C-13,Programming Fundamentals,CS1002,BCS-1F/3F,Mr. Saifullah Tanvir,90 min
Tue,10:00-11:30,C-14,Data Structures,CS2001,BCS-3D/5D,Dr. Saira Karim,90 min
Tue,10:00-11:30,C-2,Computer Organization and Assembly Language,EE2003,BCS-3E/5E,Ms. Aleena Ahmad,90 min
Tue,10:00-11:30,C-3,Discrete Structures,CS1005,BCS-3F/5F,Ms. Rubab Janjua,90 min
Tue,10:00-11:30,C-4,Applied Human Computer Interaction,CS3014,BCS-5C/7C,Ms. Sukhan Amir,90 min
Tue,10:00-11:30,C-5,Applied Human Computer Interaction,CS3014,BCS-5D/7D,Mr. Waqas Manzoor,90 min
Tue,10:00-11:30,C-6,Computer Architecture,CS4075,BCS-5B/7B,Dr. Zeeshan Ali Khan,90 min
Tue,10:00-11:30,C-7,Computer Architecture,CS4075,BCS-5G/7G,Mr. Junaid Hussain Muzammil,90 min
Tue,10:00-11:30,D-11,Compiler Construction,CS4031,BCS-7C/9C,Mr. Aamir Raheem,90 min
Tue,10:00-11:30,Eng Lab-1,Computer Organization and Assembly Language Lab,EL2003,BCS-5M,TBA,90 min
Tue,10:00-11:30,Eng Lab-2,Object Oriented Programming Lab,CL1004,BDS-3B,Mr. Durraiz Waseem,90 min
Tue,10:00-11:30,F-201,Design and Analysis of Algorithms,CS2009,BDS-5A/7A,Mr. Sajid Ali Kazmi,90 min
Tue,10:00-11:30,F-202,Understanding Holy Quran - II /Ethics - II,SS1022,BCS-3C,TBA,90 min
Tue,10:00-11:30,F-203,Software Evolution and Re-Engineering,CSXXX,BCS-7A,Mr. Arslan Asif,90 min
Tue,10:00-11:30,F-204,Technical and Business Writing,SS2007,BCS-9A,TBA,90 min
Tue,10:00-11:30,F-205,ACN/Wireless Sensor Networks,CSXXX,MCS-3A,TBA,90 min
Tue,10:00-11:30,F-206,Programming Fundamentals,CS1002,BSE-1A,Ms. Anosha Khan,90 min
Tue,10:00-11:30,F-207,Ideology and Constitution of Pakistan,SS1013,BSE-1C,TBA,90 min
Tue,10:00-11:30,F-208,Introduction to Software Engineering,SE1001,BSE-3A,Dr. Zeeshan Ali Rana,90 min
Tue,10:00-11:30,F-209,Artificial Intelligence,AI2002,BSE-5A,Dr. Hajra Waheed,90 min
Tue,10:00-11:30,F-210,Final Year Project -I,SE4091,BSE-7A,TBA,90 min
Tue,10:00-11:30,F-301,Calculus and Analytical Geometry,MT1003,BDS-1C,TBA,90 min
Tue,10:00-11:30,F-302,Computer Networks,CS3001,BDS-7A,Ms. Umm-e-Ammarah,90 min
Tue,10:00-11:30,F-303,Professional Practices in IT,CS4001,BDS-9A,TBA,90 min
Tue,10:00-11:30,F-304,Calculus and Analytical Geometry,MT1003,BAI-1A,Ms. Amina Aslam VF,90 min
Tue,10:00-11:30,F-305,Programming for AI,AI2001,BAI-3A,Ms. Mahhek Tahir,90 min
Tue,10:00-11:30,F-306,Cyber Security,CY2004,BCY-3A,Dr. Arshad Ali,90 min
